PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
POLEDANCE NRW,40237,Rethelstraße 28 Hof , 40237 Düsseldorf,"Unser über 500 Quadratmeter großes Studio mit zwei Trainingsräumen bietet beste Trainingsvoraussetzungen speziell für Pole Dance und weitere Sportarten wie Tanz, Yoga oder Pilates.
Große Fensterfronten fangen tagsüber den Sonnenschein ein, abends erzeugt die indirekte Beleuchtung ein angenehmes Licht während die Fußbodenheizung an kalten Tagen für die optimale Wohlfühl-Temperatur sorgt.
Der weite Abstand zwischen den Stangen lässt genug Bewegungsfreiheit zu, so dass Du Deinen gesamtem Bewegungsradius nutzen kannst, die große Spiegelfläche gibt Dir visuell direktes Feedback über Deine Bewegungsausführungen, was Deine Trainings-Fortschritte noch mehr fördert indem es den Lernprozess beschleunigt!",0,4.9,42 Rezensionen, office@poledance.nrw,https://www.poledance.nrw,+49 1721010400,https://www.eversports.de/s/poledance-nrw,2023-05-03 19:33:05
Pole Dance Beauties,06112,Edmund-von-Lippmann-Straße 9 , 06112 Halle (Saale),Pole Dance Beauties - Dein Pole Dance Studio in Halle (Saale),0,5.0,24 Rezensionen, kontakt@poledancebeauties.de,http://www.poledancebeauties.de,+49 1797553246,https://www.eversports.de/s/pole-dance-beauties,2023-05-03 19:33:06
Body meets Soul Leipzig,04159,Hüfnerstraße , 04159 Leipzig,"„Sorge dich gut um deinen Körper. Es ist der einzige Ort, den du zum Leben hast.“
– Jim Rohn –
Bei BodymeetsSoul steht nicht nur dein Körper im Mittelpunkt. Körper und Geist sind untrennbar miteinander verbunden. Egal ob Yoga oder/und Poledance – ich biete dir Bewegung bei gleichzeitiger Entschleunigung. Ich helfe dir, an deine Grenzen zu gehen, sie zu respektieren und mit ihnen zu spielen. Fordere dich, aber überfordere dich nicht. Du bist verantwortlich für deinen Erfolg – ich für den Prozess.",0,5.0,6 Rezensionen, info@bodymeetssoul-leipzig.de,http://www.bodymeetssoul-leipzig.de,+49  1573 1360379,https://www.eversports.de/s/body-meets-soul-leipzig,2023-05-03 19:33:06
Pole for Soul GbR,34125,Die Schlagd 1, 34125 Kassel,"Dein Studio für Poledance, Tanz, Aerial Hoop & Aerial Yoga
Du bist gelangweilt vom Fitnessstudio, möchtest aber endlich gesünder und aktiver leben und dich in deinem Körper wohlfühlen - ihn akzeptieren und vielleicht sogar lieben? Dann ist Pole for Soul die erste Adresse für dich!
Direkt in Kassel bieten wir dir ein ganz besonderes Workout an der Stange, im Ring oder im Tuch.
Wir bieten die schönste Art und Weise deine Ziele zu erreichen: Poledance, Aerial Hoop und Aerial Yoga sowie professionelles Stretching und Kraftaufbaukurse. Unsere Mission ist es auf einzigartige Weise deinen Lifestyle mit dir zu entdecken. Dafür verbinden wir Tanz, Ausdruck, Fitness und Sinnlichkeit in einem einzigartigen Workout.
​Pole for Soul – dein Pole Home in Kassel.",0,5.0,19 Rezensionen, info@poleforsoul.de,http://www.poleforsoul.com,0176 56826749,https://www.eversports.de/s/pole-for-soul-gbr,2023-05-03 19:33:07
Aerial Art Poledance,66287,Holzer Straße 98 , 66287 Quierschied,"Das Aerial Art Poledance in ein Poledance Studio in Quierschied. Es befindet sich unweit vom Ortszentrum und ist räumlich sehr großzügig gestaltet. Angeboten werden im Studio Poledancekurse für alle Niveaustufen, sowohl als Einzel- als auch als Gruppenunterricht. Das Studio kann aber auch fürs freie Training genutzt werden. Daneben wird bei Aerial Art Poledance auch Aerial Hoop und Movement Meditation angeboten.",0,4.9,103 Rezensionen, info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance,2023-05-03 19:33:07
Center of Moving Arts,64625,Fabrikstraße 21, 64625 Bensheim,"Das Center of Moving Arts liegt 100m entfernt vom Edeka Jakobi Center in Bensheim.
Das Studio hat 3 Tanzräume und eine gemütliche Bar mit über 700qm. Liebevoll eingerichtet mit einer Lounge erwartet dich ein Tanzzentrum mit Stil und Charme im ""Industrial - Look"". Du kannst frei nach belieben Kurse wie Pole-Dance, Aerial Hoop, Hip Hop / New Style / Millennium Classes / Videoclip, Jazz / Modern / Contemporary, Bungee Dance und Yoga buchen. Die ausnahmslos professionell ausgebildete Dance-Coaches sorgen in jedem Style für Energie, Niveau und Spaß.
Du erreichst das Center of Moving Arts zu Fuß in 10min vom Hauptbahnhof und hast direkt vor unserem Center Parkmöglichkeiten.",0,4.9,18 Rezensionen, info@center-of-moving-arts.de,http://www.center-of-moving-arts.de,+4962519447196,https://www.eversports.de/s/center-of-moving-arts,2023-05-03 19:33:08
Polefriends Halle,06108,Leipziger Straße 36 , 06108 Halle,"Polefriends Halle ist ein Sportstudio für diverse Formen von Poledance. Es befindet sich in Halle und bietet Interessierten Kurse für Einsteiger, Mittelstufe, Fortgeschrittene und Profis an. Außerdem sind Aufbaukurse, Pole & Burlesque Dance sowie Kurse in Lapdance & Striptease im Programm. Zusätzlich bietet das Team „Ladies Nights“ in Halle, Leipzig und Magdeburg an. Das Studio selbst ist großzügig, hell und mit viel Platz zum Ausprobieren angelegt.",0,5.0,38 Rezensionen, info@polefriends.de,http://polefriends.de/,+49 1511 7217064,https://www.eversports.de/s/polefriends-halle,2023-05-03 19:33:09
AIRobics,22081,Holsteinischer Kamp 58 , 22081 Hamburg,"Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!",0,4.9,45 Rezensionen, dance@airobics.de,https://airobics.de/,+49 15117626559,https://www.eversports.de/s/airobics,2023-05-03 19:33:09
BALANCE Neumarkt,92318,Deininger Weg 94 , 92318 Neumarkt in der Oberpfalz,"BALANCE Neumarkt ist ein Kursstudio mit einem sehr breiten Online- und Studioprogramm. Es befindet sich in Neumarkt in der Oberpfalz, unweit von der Bushaltestelle Regensburger Straße. Angeboten werden Tanzkurse (Jazz Dance, Dance Kids, Streedance & Funky Jazz), Poledance, Yoga, Pilates, Sings und vieles mehr. Bei BALANCE Neumarkt werden sowohl regelmäßige Klassen als auch aufbauende Kurse und einmalige Workshops angeboten. Seit 2020 steht allen Kunden eine Online-Videothek zur Verfügung. Videos können einzeln gekauft oder mit dem entsprechenden Service erworben werden.",0,4.9,92 Rezensionen, studio@balance-neumarkt.de,http://www.balance-neumarkt.de,+49 160 80 20 246,https://www.eversports.de/s/balance-neumarkt,2023-05-03 19:33:10
Star Poledance,53919,Rudolf-Diesel-Straße 6 , 53919 Weilerswist,"Entdecke Poledance als deine neue Leidenschaft!
In kleinen Gruppen lernst du den den besten Sport der Welt und verbesserst so nicht nur deine Fitness, sondern auch dein Verhältnis zum eigenen Körper. Und das mit viel Spaß und Abwechslung!
Das Studio in Weilerswist ist sowohl mit dem Auto als auch mit der Bahn schnell erreichbar aus Köln, dem Rhein-Erft-Kreis sowie der Eifel.
Wähle aus einer Vielzahl an Kursen, die sich perfekt ergänzen.
Tanz' dich fit - Wecke den Star in dir!",0,5.0,14 Rezensionen, tanja@star-poledance.de,http://www.star-poledance.de,+49 176 456 51 486,https://www.eversports.de/s/star-poledance,2023-05-03 19:33:10
Ramonas Tanzschmiede,45886,Ückendorfer Straße 121 , 45886 Gelsenkirchen,"Herzlich Willkommen bei Ramonas Tanzschmiede!
Seit 2018 finden Sie uns in Gelsenkirchen Ückendorf, mit Tanzkursen ab 2 Jahren, bis hin ins hohe Erwachsenenalter.
Unser Angebot umfasst verschiedenste Tanzstile:
Hier finden Sie alles, angefangen bei Eltern- Kind Tanzen, über teilbegleitetes Tanzen, bis hin zu kreativem Kindertanz, Hip Hop, Jazzdance, Contemporary, Dancehall, Streetdance, Showdance, Heels, Chair Dance, Pole Dance und Ballett. Werfen Sie hierzu einen Blick in unseren Kursplan und die jeweiligen Kursbeschreibungen! (Aktuell ist alles an die Coronasituation angepasst)
Zusätzlich bieten wir die Möglichkeiten, Junggesellinnenabschiede (JGA), Kindergeburtstage und Hochzeitstanzstunden in unseren Räumlichkeiten zu buchen.
Gerne kommen wir auch zu Ihrer Veranstaltung und gestalten dort ein buntes Programm für Sie!
Unsere Auftrittserfahrungen reichen von kleinen Gemeindefesten, über Großveranstaltungen, wie den Duisburger Tanztagen, bis hin zu professionellen Theatershows und Tourneen.",0,5.0,10 Rezensionen, kontakt@ramonas-tanzschmiede.de,http://www.ramonas-tanzschmiede.de,+49 1758535222,https://www.eversports.de/s/ramonas-tanzschmiede,2023-05-03 19:33:11
PoleRoom Braunschweig,38118,Büchnerstraße 10 , 38118 Braunschweig,"Das Luftakrobatik Studio ""PoleRoom"" befindet sich im Herzen Braunschweigs, im westlichen Ringgebiet. Auf zwei Etagen mit 400 Quadratmetern findest du Kurse wie Poledance, Polefitness, Stretching, Aerial Hoop, Aerial Silks/ Vertikaltuch und Aerosling Fitness (funktionelles Schlingentraining). Das Studio in Braunschweig ist leicht mit der Straßenbahn zu erreichen, aber auch Parkplätze stehen dir zur Verfügung. Darüber hinaus werden Polepartys und Personal Trainings angeboten. Für Veranstaltungen jeglicher Art kann man auch einen Show-Auftritt buchen. Alle TrainerInnen haben eine fundierte fachliche Ausbildung.",0,4.9,37 Rezensionen, info@poleroom.de,http://www.poleroom.de/,+49 1797431729,https://www.eversports.de/s/poleroom-braunschweig,2023-05-03 19:33:11
